City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cambria,35.5641,-121.0808,19.86,65,22,2.6,US,1727391845
84,lihue,21.9789,-159.3672,28.77,63,75,5.14,US,1727391847
85,ulsteinvik,62.3432,5.8487,9.86,83,100,1.34,NO,1727391848
86,vadso,70.0744,29.7487,7.09,87,100,1.03,NO,1727391792
87,hede,33.7681,120.2517,21.66,84,49,2.66,CN,1727391737
88,mecitozu,40.52,35.2953,15.8,66,15,1.21,TR,1727391851
89,pisco,-13.7,-76.2167,18.03,77,100,5.14,PE,1727391852
90,chui,-33.6971,-53.4616,13.91,95,100,4.14,UY,1727391853
91,kodiak,57.79,-152.4072,4.73,87,100,6.17,US,1727391556
92,ulladulla,-35.35,150.4667,9.92,76,100,4.51,AU,1727391855
93,susuman,62.7833,148.1667,4.78,58,7,0.97,RU,1727391857
94,jutai,-5.1833,-68.9,27.41,65,99,1.24,BR,1727391858
95,haiku-pauwela,20.9219,-156.3051,28.45,69,93,11.62,US,1727391859
96,dilling,12.05,29.65,23.12,67,100,4.52,SD,1727391860
97,keflavik,64.0049,-22.5624,4.24,87,0,2.06,IS,1727391679
98,afaahiti,-17.75,-149.2833,25.16,79,6,2.44,PF,1727391862
99,charleston,32.7766,-79.9309,24.1,97,100,3.09,US,1727391863
100,peniche,39.3558,-9.3811,19.0,96,9,4.39,PT,1727391864
101,agat village,13.3886,144.6585,29.64,85,96,1.34,GU,1727391865
102,oriximina,-1.7656,-55.8661,31.11,45,54,1.87,BR,1727391867
103,queenstown,-31.8976,26.8753,9.55,78,45,0.25,ZA,1727391868
104,port mathurin,-19.6833,63.4167,22.18,78,9,9.41,MU,1727391869
105,san patricio,28.017,-97.5169,30.97,30,0,4.71,US,1727391870
106,gamba,-2.65,10.0,24.57,86,100,3.44,GA,1727391871
107,gillette,44.2911,-105.5022,31.51,12,0,7.72,US,1727391872
108,bandar lampung,-5.4254,105.258,23.88,95,98,1.77,ID,1727391873
109,prado,-17.3411,-39.2208,24.22,74,0,5.71,BR,1727391874
110,swakopmund,-22.6833,14.5333,13.88,82,73,0.89,NA,1727391876
111,whangarei,-35.7317,174.3239,19.33,72,100,3.71,NZ,1727391877
112,talnakh,69.4865,88.3972,1.86,82,100,1.69,RU,1727391878
113,banda aceh,5.5577,95.3222,26.05,83,100,2.44,ID,1727391879
114,san antonio de pale,-1.4014,5.6325,25.2,81,32,5.29,GQ,1727391645
115,hempstead,40.7062,-73.6187,22.88,93,100,6.69,US,1727391762
116,chonchi,-42.6128,-73.8092,7.84,87,100,0.39,CL,1727391883
117,st. john's,47.5649,-52.7093,11.1,96,100,3.13,CA,1727391718
118,mount pearl,47.5166,-52.7813,10.64,96,100,2.68,CA,1727391886
119,west island,-12.1568,96.8225,25.99,83,40,6.17,CC,1727391887
120,phan rang-thap cham,11.5667,108.9833,24.1,87,100,1.52,VN,1727391888
121,pochinok,54.4068,32.4407,16.09,61,98,7.17,RU,1727391889
122,college,64.8569,-147.8028,6.71,81,100,2.06,US,1727391725
123,ilulissat,69.2167,-51.1,5.01,65,100,0.0,GL,1727391891
124,kerikeri,-35.2268,173.9474,18.39,76,100,4.19,NZ,1727391892
125,huarmey,-10.0681,-78.1522,17.84,80,64,3.14,PE,1727391893
126,machico,32.7,-16.7667,22.62,85,40,2.57,PT,1727391894
127,forres,57.6113,-3.6108,9.98,87,100,11.83,GB,1727391895
128,ujae,8.9322,165.7642,28.71,74,50,4.02,MH,1727391897
129,isafjordur,66.0755,-23.124,1.85,95,100,2.1,IS,1727391898
130,fort bragg,35.139,-79.006,24.34,97,100,2.57,US,1727391899
131,nelson bay,-32.7167,152.15,16.73,60,100,7.6,AU,1727391900
132,campbell river,50.0163,-125.2446,13.03,100,100,12.86,CA,1727391757
133,walvis bay,-22.9575,14.5053,17.53,63,73,1.03,NA,1727391821
134,margaret river,-33.95,115.0667,12.57,79,100,5.32,AU,1727391903
135,sao joao da barra,-21.6403,-41.0511,24.05,81,0,14.2,BR,1727391905
136,saldanha,-33.0117,17.9442,14.03,94,21,6.5,ZA,1727391906
137,yushu,44.8,126.5333,10.63,82,5,2.51,CN,1727391907
138,jamestown,42.097,-79.2353,20.57,80,100,3.6,US,1727391698
139,parang,7.3704,124.2697,25.19,82,9,1.63,PH,1727391909
140,minas de marcona,-15.2119,-75.1103,12.6,79,65,5.22,PE,1727391677
141,nikolayevsk-on-amure,53.1406,140.73,10.73,98,100,1.48,RU,1727391911
142,guerrero negro,27.9769,-114.0611,21.98,71,0,9.76,MX,1727391912
143,sitka,57.0531,-135.33,11.44,65,100,2.04,US,1727391913
144,bamboo flat,11.7,92.7167,26.05,94,40,1.03,IN,1727391915
145,port saint john's,-31.6229,29.5448,16.76,78,16,4.2,ZA,1727391916
146,collie,-33.3667,116.15,11.51,96,89,2.18,AU,1727391917
147,cove,7.221,2.3402,22.8,96,68,1.8,BJ,1727391918
148,rupert,42.6191,-113.6772,27.88,25,0,2.57,US,1727391919
149,mandera,3.9366,41.867,25.91,51,83,8.14,KE,1727391734
150,magistral'nyy,56.1725,107.4458,-1.28,83,12,0.77,RU,1727391921
151,pimenta bueno,-11.6725,-61.1936,31.72,37,99,2.88,BR,1727391795
152,yeraliyev,43.2,51.65,15.88,40,9,7.9,KZ,1727391923
153,lewistown,40.5992,-77.5714,22.01,97,0,0.0,US,1727391924
154,pergamino,-33.89,-60.5736,12.82,54,0,3.72,AR,1727391214
155,braganca,-1.0536,-46.7656,25.3,82,14,1.5,BR,1727391722
156,kingston,17.997,-76.7936,29.53,79,20,4.12,JM,1727391750
157,tshikapa,-6.4167,20.8,26.43,53,67,1.29,CD,1727391930
158,bilibino,68.0546,166.4372,-2.97,90,100,0.42,RU,1727391933
159,suleja,9.1758,7.1808,21.55,93,61,1.1,NG,1727391934
160,aykhal,66.0,111.5,-1.35,96,65,2.38,RU,1727391935
161,preobrazheniye,42.9019,133.9064,15.44,75,38,2.39,RU,1727391936
162,mont-dore,-22.2833,166.5833,27.78,96,73,0.7,NC,1727391935
163,santiago de cao,-7.9589,-79.2392,17.07,88,99,4.63,PE,1727391938
164,kyzylorda,44.8528,65.5092,9.01,34,0,6.0,KZ,1727391939
165,geraldton,-28.7667,114.6,12.23,94,100,4.12,AU,1727391765
166,neryungri,56.6709,124.6491,6.83,87,100,4.06,RU,1727391943
167,georgetown,5.4112,100.3354,26.96,87,20,2.06,MY,1727391658
168,pokhara,28.2333,83.9833,19.42,97,100,0.85,NP,1727391898
169,yuxi,24.355,102.5422,16.33,96,71,0.91,CN,1727391947
170,ribeira grande,38.5167,-28.7,23.22,78,75,4.12,PT,1727391948
171,kayangel,8.0823,134.7173,28.46,77,8,2.56,PW,1727391949
172,wenchang,30.904,118.4887,21.76,94,43,3.79,CN,1727391951
173,mukalla,14.5425,49.1242,27.11,91,61,2.18,YE,1727391952
174,roma,43.2128,-75.4557,17.98,97,75,0.0,US,1727391700
175,fale old settlement,-9.3852,-171.2468,26.11,86,100,6.57,TK,1727391954
176,antonio enes,-16.2325,39.9086,21.65,89,0,1.77,MZ,1727391955
177,gizo,-8.103,156.8419,27.9,76,68,0.19,SB,1727391956
178,constantia,44.1833,28.65,18.38,84,49,5.47,RO,1727391845
179,chifeng,42.2683,118.9636,13.0,80,2,1.68,CN,1727391958
180,campos do jordao,-22.7394,-45.5914,19.91,30,50,0.08,BR,1727391959
181,sola,-13.8833,167.55,25.84,78,20,9.43,VU,1727391680
182,atafu village,-8.5421,-172.5159,27.31,78,100,5.57,TK,1727391962
183,sturgis,41.7992,-85.4192,19.82,67,0,3.09,US,1727391963
184,ta`u,-14.2336,-169.5144,27.03,77,100,7.03,AS,1727391964
185,yemva,62.59,50.8594,12.31,63,59,4.4,RU,1727391965
186,olonkinbyen,70.9221,-8.7187,-2.54,80,100,13.56,SJ,1727391966
187,ust'-kulom,61.6864,53.6902,11.96,66,95,3.45,RU,1727391967
188,telimele,10.9167,-13.3333,20.47,99,98,0.89,GN,1727391968
189,le port,-20.9373,55.2919,21.05,93,12,9.34,RE,1727391969
190,concepcion,-36.827,-73.0498,12.89,76,0,2.57,CL,1727391578
191,santa terezinha,-29.9002,-50.0904,17.12,93,96,5.18,BR,1727391971
